"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
6275,2020-03-11,374,7,2402,1,3,4,134
6283,2020-10-01,170,9,1240,2,4,3,243
6284,2020-09-24,177,9,833,2,4,2,242
6294,2020-07-02,261,10,885,2,4,2,242
6321,2020-06-25,268,7,2489,2,3,4,234
6323,2020-08-14,218,9,2373,2,4,4,244
6324,2020-09-21,180,9,2148,2,4,4,244
6334,2020-06-09,284,8,1969,2,4,4,244
6348,2019-11-12,494,7,5832,1,3,4,134
6357,2020-09-01,200,6,2846,2,3,4,234
6392,2020-06-10,283,9,5052,2,4,4,244
6395,2020-05-20,304,6,3877,1,3,4,134
6418,2020-10-15,156,11,2388,2,4,4,244
6427,2019-12-31,445,6,2618,1,3,4,134
6443,2020-05-09,315,7,3478,1,3,4,134
6446,2020-07-22,241,9,1900,2,4,4,244
6453,2020-10-03,168,9,3907,2,4,4,244
6472,2019-11-13,493,6,4896,1,3,4,134
6500,2020-07-08,255,9,3977,2,4,4,244
6519,2020-09-11,190,6,17823,2,3,4,234
6527,2020-05-23,301,8,1774,1,4,3,143
6558,2020-08-22,210,10,1402,2,4,3,243
6559,2020-09-09,192,9,3535,2,4,4,244
6562,2020-09-14,187,9,3054,2,4,4,244
6566,2020-09-25,176,10,1476,2,4,3,243
6569,2020-03-06,379,8,1889,1,4,4,144
6575,2020-01-20,425,8,1078,1,4,3,143
6587,2020-10-02,169,10,913,2,4,2,242
6605,2020-08-21,211,7,1953,2,3,4,234
6608,2020-05-27,297,8,3382,1,4,4,144
6626,2020-08-30,202,10,4623,2,4,4,244
6639,2020-10-11,160,8,3471,2,4,4,244
6646,2020-10-02,169,9,1728,2,4,3,243
6650,2020-06-17,276,7,3991,2,3,4,234
6687,2020-06-05,288,9,3767,1,4,4,144
6694,2020-04-09,345,8,1080,1,4,3,143
6700,2020-09-21,180,7,4062,2,3,4,234
6707,2020-09-28,173,7,4459,2,3,4,234
6713,2020-10-01,170,7,4319,2,3,4,234
6715,2020-08-26,206,8,927,2,4,2,242
6720,2020-10-13,158,8,5921,2,4,4,244
6736,2020-05-06,318,6,1888,1,3,4,134
6737,2019-04-22,698,8,1596,1,4,3,143
6745,2020-06-24,269,13,2703,2,4,4,244
6754,2020-10-08,163,9,1209,2,4,3,243
6756,2020-08-04,228,8,2039,2,4,4,244
6761,2020-10-12,159,9,2460,2,4,4,244
6762,2020-09-04,197,9,3271,2,4,4,244
6824,2020-02-27,387,6,2258,1,3,4,134
6830,2020-03-12,373,9,3801,1,4,4,144
6893,2020-10-03,168,9,1387,2,4,3,243
6905,2020-07-13,250,8,1069,2,4,3,243
6906,2020-03-17,368,7,2954,1,3,4,134
6913,2020-06-21,272,8,1424,2,4,3,243
6937,2020-06-16,277,6,2365,2,3,4,234
6962,2020-06-15,278,6,3194,2,3,4,234
6964,2020-06-04,289,6,2387,1,3,4,134
6965,2020-07-20,243,9,2223,2,4,4,244
6984,2020-08-06,226,8,2443,2,4,4,244
6996,2020-08-15,217,9,2559,2,4,4,244
6998,2020-05-30,294,9,1392,1,4,3,143
7000,2020-07-07,256,6,2263,2,3,4,234
7024,2020-04-14,340,8,2856,1,4,4,144
7027,2020-06-24,269,7,3254,2,3,4,234
7029,2020-01-02,443,9,2281,1,4,4,144
7036,2020-06-30,263,6,2543,2,3,4,234
7071,2020-08-14,218,9,6323,2,4,4,244
7088,2020-09-25,176,8,1201,2,4,3,243
7107,2020-02-25,389,9,1867,1,4,4,144
7120,2020-10-13,158,10,1099,2,4,3,243
7127,2020-05-06,318,6,2487,1,3,4,134
7144,2020-06-28,265,10,3421,2,4,4,244
7146,2020-07-02,261,6,2241,2,3,4,234
7165,2020-01-09,436,9,2037,1,4,4,144
7206,2020-09-18,183,9,1724,2,4,3,243
7223,2020-08-23,209,8,2347,2,4,4,244
7246,2020-09-11,190,10,2208,2,4,4,244
7250,2020-09-16,185,11,1389,2,4,3,243
7254,2020-06-13,280,10,919,2,4,2,242
7283,2020-08-17,215,8,1881,2,4,4,244
7307,2019-10-25,512,6,2903,1,3,4,134
7309,2020-04-08,346,7,3775,1,3,4,134
7316,2020-02-15,399,7,1840,1,3,4,134
7319,2020-03-17,368,6,2275,1,3,4,134
7331,2020-09-16,185,8,2182,2,4,4,244
7338,2020-06-10,283,7,2591,2,3,4,234
7344,2020-06-08,285,8,1560,2,4,3,243
7350,2020-07-25,238,10,2330,2,4,4,244
7358,2020-06-18,275,6,2473,2,3,4,234
7376,2020-10-07,164,8,1490,2,4,3,243
7393,2020-07-16,247,6,2635,2,3,4,234
7404,2020-07-14,249,10,2176,2,4,4,244
